experiment,matplotlib,numpy,platform,processor,python,pytorch,torch_interop_threads,torch_threads,scipy,wall_time_seconds,random_runs
Example 1,3.10.8,2.3.5,Linux-6.18.35-x86_64-with-glibc2.39,x86_64,3.12.13,2.8.0+cpu,1,1,not used,280.5502142250002,1
Example 2,3.10.8,2.3.5,Linux-6.18.35-x86_64-with-glibc2.39,x86_64,3.12.13,2.8.0+cpu,1,1,1.16.1,341.42156250100015,1
